Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
Minorca,Steamer,1145,12/11/17,U 64 (Robert Moraht),Sunk,2 to 3 miles off Cabo de las Huertas,,Genoa - Carthagena,in ballast,0
Minterne,Steamer,3018,05/03/15,U 30 (Erich von Rosenberg-Grusczyski),Sunk,50 miles SW of Wolf Rock,,Cardiff - Buenos Aires,coal,2
Mira,Steamer,3050,05/15/16,U 34 (Claus RÃ¼cker),Sunk,E of Sicily,"36° 51'N, 15° 54'E",Cardiff - Corfou,coal,
Mirlo,Tanker,6978,08/16/18,U 117 (Otto DrÃ¶scher),Sunk,"0.5 miles SxE from Wimble Shoal Buoy, Cape Hatteras",,New Orleans - London,refined products,9
Miss Morris,Sailing vessel,156,04/11/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,"Stoped and scuttled 20 miles SE of Garrucha, Spain","36° 57'N, 1° 50'W",Genoa - Malaga,in ballast,0
Missanabie,Passenger steamer,12469,09/09/18,UB 87 (Karl Petri),Sunk,52 miles SxE1/2E of Daunts Rock,"51° 11'N, 7° 25'W",Liverpool - New York,in ballast,45
Missir,Steamer,786,05/29/18,UB 51 (Ernst Krafft),Sunk,Torpedoed 80 miles WxN of Alexandria,,Alexandria - Sollum,government stores and general cargo,34
Mississipi,Steamer,6687,06/02/17,U 87 (Rudolf Schneider),Damaged,Torpedoed 150 miles WSW of Brest,"48° 17'N, 8° 13'W",Havre - New Orleans,,
Mississipi,Steamer,6687,01/11/18,UB 80 (Max Viebeg),Damaged,Torpedoed in the Seine Estuary,,Havre - New Orleans,,
Missourian,Steamer,7924,04/04/17,U 52 (Hans Walther),Sunk,"off Porto Maurizio (Ita.). 43.33N, 08.15E per KTB","43° 31'N, 8° 14'E",Genoa - Boston,,0
Mistica Rosa,Sailing vessel,31,06/19/17,UC 27 (Gerhard Schulz),Sunk,off Pantelleria,,,,
Misurata,Steamer,2691,05/03/17,UC 73 (Kurt Schapler),Sunk,,"50° 10'N, 17° 15'W",Almeria - ?,,0
Mitra,Tanker,5592,06/06/17,UC 25 (Johannes Feldkirchner),Damaged,"Mined 4 miles S54Â°E of Cape Passaro, Sicily, Put in Syracuse",,Hurghada - Genoa,oil fuel,0
Mitra,Tanker,5592,03/08/18,k.u.k. U28 (Zdenko Hudecek),Damaged,Arrived Malta.,"36° 20'N, 13° 12'E",Suez & Alexandria - Genoa,liquid oil,0
Miura,Navy Trawler,257,08/23/15,UB 2 (Werner FÃ¼rbringer),Sunk,Torpedoed off Great Yarmouth,"52° 36'N, 1° 54'E",,,11
Miyazaki Maru,Passenger steamer,7892,05/31/17,U 88 (Walther Schwieger),Sunk,Torpedoed 150 miles W of the Scillies,"49° 05'N, 9° 35'W",Yokohama - London,general cargo and passengers,8
Mizpah,Sailing vessel,57,12/03/16,UB 18 (Claus Lafrenz),Sunk,Stopped and scuttled 30 miles SSE of Eddystone,"49° 47'N, 3° 40'W",St. Malo - Charlestown (Corn.),no cargo,0
Ml 246,Motor launch,37,09/14/16,k.u.k. U4 (Rudolf Singule),Damaged,"Damaged off Cape Rizzuto after floating free from the sinking Inverbervie, on which this and three other motor luanches had been deck cargo.","37° 55'N, 16° 15'E",,,
Ml 540,Motor launch,37,06/08/17,U 39 (Walter Forstmann),Sunk,80 miles WNW of Cape Spartel,,,,0
Ml 541,Motor launch,37,06/08/17,U 39 (Walter Forstmann),Sunk,80 miles WNW of Cape Spartel,,,,
Mobile,Steamer,1905,04/28/15,U 30 (Erich von Rosenberg-Grusczyski),Sunk,25 miles NW of the Butt of Lewis,,Barry - ?,coal,0
Mod,Steamer,664,04/30/16,UB 27 (Victor Dieckmann),Sunk,Sunk by gunfire 40 miles ExN of the Tyne,"55° 45'N, 0° 25'W",GÃ¶teborg - Blyth,pitprops,0
Modemi,Steamer,1481,11/17/17,UC 48 (Helmut Lorenz),Sunk,3 miles off Whitby,,Rouen - Whitby,in ballast,0
Moderne,Fishing vessel,38,01/03/17,UB 39 (Heinrich KÃ¼stner),Sunk,off La Rochelle,,,,
Modig,Steamer,1704,12/21/16,UC 46 (Friedrich Moecke),Sunk,Mined 15 miles SExS3/4S of Flamborough Head,"53° 56'N, 0° 13'E",Tyne - Rouen,coal,0
Modiva,Steamer,1276,01/31/17,UC 47 (Paul Hundius),Sunk,Mined 14 miles SE of Flamborough Head 5346N 0017E,"53° 46'N, 0° 17'E",West Hartlepool - Rouen,coal,3
Modum,Steamer,2937,12/08/16,UC 21 (Reinhold Saltzwedel),Sunk,SSW of Penmarch,"47° 38'N, 4° 19'W",Sunderland - Bordeaux,coal,0
Moeris,Steamer,3409,06/30/16,UB 44 (Franz WÃ¤ger),Sunk,"46 miles SE of Cape Sidero, Crete. 34.38N, 26.58E per KTB","34° 50'N, 26° 58'E",Glasgow - Alexandria,general cargo,3
Mogador,Steamer,1364,11/04/16,U 34 (Claus RÃ¼cker),Sunk,Stopped and scuttled 38 miles NNW of Punta Soller,"40° 13'N, 2° 18'E",SÃ¨te-Algiers,various,0
Mohacsfield,Steamer,3678,01/07/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,40 miles SExE1/2E Malta at 5:00pm,,Cette - ?,hay,3
HMS Mohawk,Destroyer,865,06/01/15,UC 11 (Walter Gottfried Schmidt),Damaged,Mined south entrance to the Downs,,,,5
Moidart,Steamer,1303,06/09/18,UC 77 (Johannes Ries),Sunk,Torpedoed 7 miles SE1/2E of Lyme Regis,,Barry - ?,coal,15
Moina,Auxiliary motor,168,09/06/17,UB 49 (Hans von Mellenthin),Sunk,Stopped and scuttled W of Gibraltar,"36° 32'N, 7° 15'W",Tangiers-Dunkirk,,0
Moldavia,Armed merchant cruiser,9500,05/23/18,UB 57 (Johannes Lohs),Sunk,Torpedoed off Beachy Head,"50° 24'N, 0° 26'W",Halifax- ?,troops and stores,57
Molesey,Steamer,3218,11/30/17,UB 81 (Reinhold Saltzwedel),Sunk,Torpedoed 12 miles SWxW of the Brighton LV,,Sfax - The Downs (for orders),phosphate rock,0
Moliere,steamer,1545,05/27/18,U 101 (Carl-Siegfried Ritter von Georg),Sunk,1 mile off Hartland Point,,Rouen - Barry,in ballast,12
Molina,Steamer,1122,01/22/18,UB 35 (Karl StÃ¶ter),Sunk,3 miles W of St. Catherineâs Point,"50° 34'N, 1° 29'W",Le Havre - Swansea,in ballast,0
Mombassa,Steamer,4689,10/20/16,U 39 (Walter Forstmann),Sunk,8 miles NWxN Cape Corbelin,"37° 00'N, 4° 10'E",London - Zanzibar,general cargo,1
Monarch,Steamer,1318,05/23/17,UB 41 (GÃ¼nther Krause),Sunk,2 miles E of Seaham,,Tees - Saint Nazaire,pitch,10
Monarda,Drifter,87,06/24/15,U 38 (Max Valentiner),Sunk,Stopped and sunk by gunnery 41 miles ENE fromm Out Skerries,,,,0
Monastir,Steamer,1915,07/26/18,UC 74 (Hans Adalbert von der LÃ¼he),Damaged,Torpedoed in Kassos Strait,"35° 00'N, 27° 00'E",Suez - Saloniki,,
Mongara,Passenger steamer,8205,07/03/17,k.u.k. U28 (Zdenko Hudecek),Sunk,Torpedoed 1.5 miles from the Messina Breakwater,"38° 10'N, 15° 36'E",Sydney - London,general cargo,0
Mongibello,Steamer,4059,06/27/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,50 miles off Port Mahon at 3:30pm,"39° 45'N, 5° 20'E",Baltimore - Genoa,,
Monginevro,Steamer,5271,06/12/18,UB 68 (Heino von Heimburg),Damaged,Topedoed off Cape Tortosa,,Genoa - Gibraltar,in ballast,
Mongolian,Passenger steamer,4892,07/21/18,UC 70 (Karl Dobberstein),Sunk,5 miles SE Filey Brigg,"54° 10'N, 0° 58'W",Middlesbrough - London,,36
Monitor,Sailing vessel,138,04/26/17,U 33 (Gustav SieÃ),Sunk,Stopped and scuttled 20 miles SxE from Cape Antibes,"43° 11'N, 7° 52'E",Leghorn - Cadiz,in ballast,0
Monitoria,Steamer,1904,10/21/15,UC 6 (Matthias Graf von Schmettow),Sunk,Mined .75 miles NxE3/4E of the Sunk Head Buoy,"51° 47'N, 1° 31'E",Humber - London,coal,0
Monksgarth,Steamer,1928,08/19/17,UC 48 (Kurt Ramien),Sunk,17 miles NxE1/4E of Ushant,,Barry - Bordeaux,coal,0
Monkstone,Steamer,3097,07/25/17,U 82 (Hans Adam),Sunk,240 miles W of the Scilly Islands,,Shields - Gibraltar,coal,1
Monmouth,Steamer,4078,11/17/16,UC 26 (Matthias Graf von Schmettow),Damaged,Mined at Cherbourg,,Newport News & Cherbourg - Dunkirk,steel and oats,0
Monsone,Navy Trawler,249,02/23/16,UC 12 (Eberhard FrÃ¶hner),Sunk,Mined off Durazzo,,,,8
Mont De Piete,,38,09/07/17,UC 71 (Reinhold Saltzwedel),Sunk,off the Loire,,,,
Mont Viso,Steamer,4820,02/23/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Damaged,at 1815h with 210 troops on board,"36° 20'N, 11° 17'E",,troops,
Mont Viso,Steamer,4820,06/30/17,U 34 (Johannes Klasing),Sunk,"off Gourraya, west of Algiers","36° 39'N, 1° 55'E",,,
Montanan,Steamer,6659,08/15/18,U 90 (Helmut Patzig),Sunk,Atlantic Ocean,"46° 47'N, 13° 42'W",New York - St. Nazaire,,5
Monte Bianco,Steamer,6968,12/21/17,UB 49 (Hans von Mellenthin),Damaged,Torpedoed in the Gulf of Genoa,"43° 58'N, 8° 12'E",Genoa - Gibraltar,,
Monte Cristo,Sailing vessel,622,07/01/18,U 65 (Hermann von Fischel),Sunk,Torpedoed in the Gulf of Lyon,"41° 56'N, 4° 52'E",,,2
Monte Protegido,Sailing vessel,281,04/04/17,UC 30 (Heinrich Stenzler),Sunk,off Scilly Isles,"49° 27'N, 6° 44'W",Pernambuco - Rotterdam,linseed,
Montebello,Steamer,4324,06/21/18,U 100 (Degenhart von LoÃ«),Sunk,320 miles W1/2N of Ushant,"47° 05'N, 12° 45'W",London - Hampton Roads,,41
Montevideo 488,Crane,,07/24/17,UB 18 (Ulrich Meier),Sunk,30 miles NW of Nieuwe waterweg,,,,
Montfort,Steamer,6578,10/01/18,U 55 (Alexander WeiÃ),Sunk,"Torpedoed 170 miles WxS3/4S of Bishop Rock. Hit on the 1st, sank the next day.","48° 00'N, 10° 20'W",London - Montreal,general cargo,5
Montreal,Steamer,3342,03/24/17,U 46 (Leo Hillebrand),Sunk,Torpedoed 77 miles NE of Cape Ortegal,"45° 40'N, 7° 40'W",Havre - Bordeaux - West Indies,Misc. 50 t.,22
Monviso,Steamer,4020,04/12/17,UC 38 (Alfred Klatt),Damaged,Mined off Cape Zaffarano,,Palermo - Civita Vecchia,grain and meat,
Monviso,Steamer,4020,09/01/18,UB 48 (Wolfgang Steinbauer),Damaged,Torpedoed near the Straits of Messina,,Alexandria - Genoa,,
Mooltan,Passenger steamer,9621,07/26/17,UC 27 (Gerhard Schulz),Sunk,"53 miles NNW1/2W Cape Serrat. 38.00N, 08.18E per KTB","37° 56'N, 8° 34'E",Malta - Marseille,,2
Moorina,Steamer,4994,11/07/15,U 35 (Waldemar Kophamel),Sunk,105 miles S of Cape Martello,"33° 10'N, 25° 10'E",Bombay - Marseille,,0
Moorlands,Steamer,3602,06/25/18,UB 88 (Reinhard von Rabenau),Sunk,3 miles SE x E Whitby,,La Goulette - Middlesbrough,iron ore,10
Moorside,Steamer,311,11/12/15,UC 6 (Matthias Graf von Schmettow),Sunk,Mined off Boulogne,,Leith - France,coal,8
Mopsa,Steamer,885,07/16/16,UC 1 (Kurt Ramien),Sunk,Mined 7 miles S of Lowestoft,,Goole - Boulogne,coal & general cargo,0
Mora,Steamer,3047,09/08/15,U 20 (Walther Schwieger),Sunk,68 miles WxS of Belle Ile,"46° 50'N, 4° 40'W",Santander - Newport,ore,0
Fratelli Bandiera,Steamer,3506,05/25/16,U 39 (Walter Forstmann),Sunk,40 miles SE of HyÃ¨res,"42° 23'N, 5° 28'E",New York - Genoa,flour,
Morazan,Steamer,3486,11/11/16,U 50 (Gerhard Berger),Sunk,145 miles SWxW of Ushant,"46° 41'N, 7° 39'W",Calcutta - London,manganese ore & jute,0
Mordenwood,Steamer,3125,05/19/17,k.u.k. U29 (Leo PrÃ¡sil),Sunk,Torpedoed 90 miles SExS1/2S of Cape Matapan,"35° 02'N, 22° 05'E",,,21
Moreni,Tanker,4045,06/12/17,U 64 (Robert Moraht),Sunk,Sunk by gunfire 17 miles SE of Isla Plana (Tabarca Island),"37° 52'N, 0° 14'E",Baton Rouge - Livorno,benzine,4
Moresby,steamer,1763,11/28/16,U 39 (Walter Forstmann),Sunk,120 miles NWxN Alexandria,"32° 36'N, 28° 38'E",Saigon - Dunkerque,rice,33
Morild  I,Steamer,1354,03/29/17,UC 69 (Erwin WaÃner),Sunk,"3 miles off Hourtin, Gironde",,Oporto - Cardiff,pitprops,0
Morion,Steamer,299,05/02/17,UC 65 (Otto Steinbrinck),Sunk,Stopped and scuttled 4 miles SE of Skulmartin LV,,Dublin - Cairnlough,,0
Morna,Sailing vessel,1512,08/10/15,U 35 (Waldemar Kophamel),Sunk,40 miles SW of Fastnet,"50° 40'N, 11° 10'W",Portland OR â Queenstown,wheat,0
Morning Star,Motor vessel,129,11/12/17,UB 30 (Wilhelm Rhein),Sunk,Stopped and scuttled 10 miles SE3/4E of Barfleur,,Fowey - Rouen,china clay,0
Morococala,Trawler,265,11/19/17,UC 31 (Kurt Siewert),Sunk,Mined 3m SExS of the Daunt Rock LV,,Sweeping,,12
Morwenna,Steamer,1414,05/26/15,U 41 (Claus Hansen),Sunk,72 miles SxE of Fastnet,"50° 27'N, 8° 44'W","Cardiff - Sydney, N.S.",in ballast,1
Mosco,Sailing vessel,130,08/28/18,,Sunk,Mediterranean Sea,,,,
Moss Rose,Sailing vessel,161,09/10/17,UC 51 (Hans Galster),Sunk,Stopped and sunk 7 miles NNE of the Pendeen LH,"50° 16'N, 5° 39'W",Ellesmere Port - Cherbourg,coal,0
Mossoul,Steamer,3135,11/21/17,U 63 (Otto Schultze),Sunk,Torpedoed and abandoned in heavy seas. Later came ashore on Pantellaria. CTL.,"37° 04'N, 11° 30'E",Egypt - Marseille,,
Motagua,Armed merchant cruiser,5977,03/16/17,U 80 (Alfred von Glasenapp),Damaged,Mined NW of the Orkneys (Barrage 39 or 39a),,,,0
Motano,Tanker,2730,07/31/17,UC 47 (Paul Hundius),Sunk,Torpedoed 20 miles SE of Start Point,,New York - Portsmouth,fuel oil,24
Tb. 12,Torpedo boat,255,06/10/15,UC 11 (Walter Gottfried Schmidt),Sunk,Mined between the Sunk LV and the Shipwash South Buoy,,,,23
Motia,steamer,500,06/13/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,"Tyrrhenian Sea aboutt 10 miles N of Ustica at 12,00am",,,,0
Motor,Auxiliary motor,63,07/06/17,U 58 (Karl Scherb),Sunk,Stopped and sunk by gunnery 70 miles WNW of Utsire,"59° 22'N, 2° 45'E",Copenhagen - Reykjavik,general cargo,0
Motricine,Tanker,4047,05/17/18,U 55 (Wilhelm Werner),Sunk,72 miles NE of Ushant,"49° 19'N, 7° 29'W",Havre-New York,,
Mouche,Sailing vessel,65,02/26/18,U 55 (Wilhelm Werner),Sunk,Stopped and sunk by gunnery 25 miles SE of Lizard,"49° 33'N, 4° 43'W",Cherbourg - Swansea,in ballast,
Moulmein,Trawler,151,03/28/17,UC 77 (Reinhard von Rabenau),Sunk,Stopped and scuttled 25 miles NE of Longstone,,,,0
Mount Coniston,Steamer,3018,08/05/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,"Captured and scuttled 7 miles ExS of Medas Island, (near Barcelona) at 12:00am",,Port Talbot - Marseille,coal & machinery,0
Mount Vernon,Troopship,18372,09/05/18,U 82 (Heinrich Middendorff),Damaged,Torpedoed but reached Brest,,Europe - U.S.,,36
Mountain Laurel,Sailing vessel,705,06/23/18,UB 73 (Karl Neureuther),Sunk,25 miles NW Rathlin,"55° 38'N, 6° 38'W",Barrow - Seydisfjord,coal,11
Mountby,Steamer,3263,06/10/18,UC 49 (Hans KÃ¼kenthal),Sunk,Torpedoed 8 miles ExS of the Lizard at 4:20am,"49° 58'N, 5° 01'W",Swansea - ?,Admiralty stores,0
Moyori Maru,Steamer,3746,10/20/17,U 151 (Waldemar Kophamel),Sunk,off the W coast of Spanish Morocco about 30 miles W of Cape Barbas,"22° 17'N, 17° 14'W",Japan - Dakar,,
Moyune,Steamer,4935,04/12/18,U 34 (Johannes Klasing),Sunk,Torpedoed 32 miles SExE of Cape de Palos,"37° 26'N, 0° 06'E",Karachi - Liverpool,maize,0
Mt 1,Minesweeping Boat,25,11/30/17,UC 58 (Karl Vesper),Sunk,Mined off Raumo,,,,
Mt 11,Minesweeping Boat,29,07/07/17,UC 58 (Karl Vesper),Sunk,Mined off Raumo,,,,
Mt 14,Minesweeping Boat,29,07/07/17,UC 58 (Karl Vesper),Sunk,Mined off Raumo,,,,
Muccio,Sailing vessel,137,09/17/17,UC 27 (Gerhard Schulz),Sunk,Gulf of Lion,,,,
Muirfield,Steamer,3086,07/12/17,U 49 (Richard Hartmann),Sunk,"350 miles NW of Fastnet. 54.08N, 18.40W per KTB","50° 30'N, 18° 30'W","Portland, Ore. - Dublin",wheat,2
Munificent,Steamer,3270,03/01/17,,Sunk,3.5 miles NNW of Cape Gris Nez,"50° 55'N, 1° 32'E",Tyne - Dunkerque,coal,3
Murcia,Steamer,4871,11/02/18,UC 74 (Hans SchÃ¼ler),Sunk,12 miles N of Port SaÃ¯d,"31° 26'N, 32° 21'E",Bassein - Marseille,rice & gunnies,1
Murex,Tanker,3564,12/21/16,U 73 (Gustav SieÃ),Sunk,94 miles NW of Port Said,"32° 20'N, 31° 00'E",Mudros - Port Said,in ballast,1
Muriel,Fishing vessel (sail),120,08/03/18,U 156 (Richard Feldt),Sunk,Stopped and scuttled 45 miles WxN of Seal Island or 45 miles SW of Yarmouth LH,,Fishing,,0
Muriel Franklin,Fishing vessel (smack),29,09/09/16,UB 29 (Herbert Pustkuchen),Sunk,Stopped and sunk 20 miles SE of Start Point,,,,0
Musette,Sailing vessel,245,10/01/16,UB 38 (Erwin WaÃner),Sunk,Stopped and scuttled off Ushant,"49° 12'N, 5° 20'W",Lisbon - St. Malo,salt,0
Myosotis,Sailing vessel,356,05/21/16,U 34 (Claus RÃ¼cker),Sunk,"32 miles N of Port Soller, Majorca Islands",,,,0
HMS Myosotis,Sloop,1250,09/09/17,UC 71 (Reinhold Saltzwedel),Damaged,Between Portland and Wight - Damaged by torpedo,,,,3
Myrdal,steamer,2631,01/25/17,UC 21 (Reinhold Saltzwedel),Sunk,"Scuttled 4,5 miles SSE of Penmarch","47° 44'N, 4° 22'W",Cardiff - Genoa,coal,0
Myrmidon,Steamer,4965,09/07/17,UC 54 (Heinrich XXXVII Prinz ReuÃ zu KÃ¶stritz),Damaged,"Beached at Philippeville, refloated and repaired.","37° 10'N, 6° 51'E",Cardiff - Alexandria,coal,2
Myrtle Branch,Steamer,3741,04/11/18,UB 73 (Karl Neureuther),Sunk,9 miles NExN of Inistrahull,,Coronel & Newport News - Liverpool,general cargo & mineral ores,15
MÃ¤rta,Steamer,493,05/19/17,UC 58 (Karl Vesper),prize,off the Finnish coast,,Stockholm - Raumo,general cargo,0
MÃ¶hlenpris,Steamer,638,04/15/17,UB 40 (Hans Howaldt),Sunk,15 miles SW of Beachy Head,"50° 38'N, 0° 15'W",Llanelly - Boulogne,coal,0
Notre Dame De La Garde,Fishing vessel (sail),147,08/22/18,U 156 (Richard Feldt),Sunk,"Stopped and scuttled on the Newfoundland Banks, 90 miles off Sydney","45° 32'N, 58° 57'W",,codfish,0
N. Hadzikyriakos,Steamer,3533,05/31/17,U 86 (Friedrich CrÃ¼semann),Sunk,,"48° 00'N, 12° 00'W",Rosario - London,,
N. Verberckmoens,Steamer,1353,08/14/17,UC 51 (Hans Galster),Sunk,Torpedoed off Trevose Head,"50° 47'N, 4° 45'W",Swansea - Dunkerque,coal,4
Notre Dame De Bon Secours,Sailing vessel,81,11/14/16,UC 16 (Egon von Werner),Sunk,"10 miles S5Â°W of La Jument LH, near Ushant",,Swansea - Quimper,,
Notre Dame De Lourdes,Fishing vessel,47,03/01/17,UC 65 (Otto Steinbrinck),Sunk,Sunk by gunfire 6 miles W of Berck,,Fishing,,
Notre Dame De Rostrenen,Sailing vessel,186,11/27/17,U 101 (Karl Koopmann),Sunk,Sunk by gunnery 59 miles bearing 281ÃÂ° from Ushant,"48° 36'N, 5° 50'W",St. Pierre (Mig.) - ?,codfish,0
N.  J. Fjord,Steamer,1425,04/05/17,UC 31 (Otto von Schrader),Sunk,Stopped and scuttled 40 miles ENE of Coquet Island,,Blyth - Odense,coal & general cargo,0
Naalso,Navy Trawler,135,11/16/17,UC 71 (Reinhold Saltzwedel),Sunk,Mined 8 miles WNW of Ile dâYeu,"46° 49'N, 2° 33'W",,,0
Nadejda,Steamer,3849,01/02/18,U 19 (Johannes SpieÃ),Sunk,Torpedoed and then sunk by gunnery 25 miles SW of Chicken Rock,,Archangelsk - Cardiff,in ballast,
Nadine,Navy Trawler,150,09/01/15,UC 7 (Franz WÃ¤ger),Sunk,"Mined off the North Shipwash Buoy, Thames Estuary",,,,9
NÃ¦sborg,Steamer,1547,01/04/17,UB 18 (Claus Lafrenz),Sunk,W of Guernsey,"49° 26'N, 3° 40'W",Sunderland - Bayonne,coal,0
Nagata Maru,Steamer,3521,11/30/16,UB 39 (Heinrich KÃ¼stner),Sunk,Scuttled 40 miles NE of Ushant,"48° 55'N, 4° 24'W",Kobe - Le Havre,rice,4
Naiad,Sailing vessel,1907,12/15/16,UB 38 (Wilhelm Amberger),Sunk,Stopped and sunk by gunnery 25 miles SExS of Bishop Rock,"49° 42'N, 5° 51'W",London - Buenos Aires,cement and pipes,0
Najade,Sailing vessel,1752,03/21/17,U 59 (Wilhelm von Fircks),Sunk,Torpedoed off Fair Island,"59° 35'N, 2° 17'W",Galveston - Denmark,oilcake,21
Nailsea Court,Steamer,3295,01/19/17,U 48 (Berndt BuÃ),Sunk,32 miles W of the Skelligs,,Bougie - Barrow,iron ore,0
Nairn,Steamer,3627,08/28/17,k.u.k. U14 (Georg Ritter von Trapp),Sunk,125 miles NxW1/4W of Benghazi,"34° 05'N, 19° 20'E",Malta - Port Said,coal,0
Naamah,Trawler,269,03/07/17,UC 76 (Wilhelm Barten),Sunk,Stopped and sunk 35 miles SxE of North Ronaldsbay,,,,0
Namur,Passenger steamer,6694,10/29/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,55 miles ExS1/2S of Gibraltar,"36° 00'N, 4° 15'W",Shanghai - London,general cargo,1
Nancy,Steamer,1325,04/11/17,U 30 (Franz GrÃ¼nert),Sunk,Torpedoed and sunk 42 miles from HellesÃ¶n Light,,Copenhagen via Bergen - Hull,agricultural products,3
Nancy Hunnam,Drifter,58,07/06/16,UB 23 (Ernst Voigt),Sunk,Stopped and sunk 24 miles ExS of the Tyne,,,,0
Nanette,Sailing vessel,40,10/04/18,,Sunk,"10 miles SW La Jument, GlÃ©nan Isl.",,,,
Nann Smith,Steamer,2093,05/22/17,UC 69 (Erwin WaÃner),Sunk,Mined between Belle Ile and Ile de Groix,"47° 13'N, 3° 14'W","Bilbao - Newport, Mon",iron ore,0
Nanna,Steamer,1125,01/24/17,U 79 (Heinrich JeÃ),prize,E of the Shetlands. Taken as prize to List. Later released.,,,,
Nanna,Steamer,1125,10/04/18,UB 112 (Wilhelm Rhein),Sunk,10 miles WNW of the Lizard,,Barry Dock - St. Malo,coal,9
Nanny Wignall,Sailing vessel,93,03/09/18,U 110 (Carl Albrecht Kroll),Sunk,Stopped and sunk by gunnery 14 miles SExS of Tuskar,,Cardiff - Wexford,coal and cement,0
Nantes,Steamer,1580,05/07/18,U 105 (Friedrich Strackerjan),Sunk,83 miles ESE of Fair Isle,,Bergen - West Hartlepool,"wood, nitrate, sulphate, paper, timber",0
Naparima,Steamer,1685,05/10/18,UB 107 (Hans Howaldt),Damaged,Torpedoed near Hartlepool,,Gothenburg & Bergen - Grimsby,timber,0
Narberth Castle,Trawler,168,04/06/17,UC 27 (Gerhard Schulz),Sunk,Stopped and sunk by gunnery 30 miles NNW of Dennis Head,"59° 38'N, 3° 04'W",,,0
Narcissus,Drifter,58,08/06/17,UB 22 (Karl Wacker),Sunk,Stopped and scuttled 12 miles SE of the Tyne,"54° 55'N, 1° 05'W",,,0
Narragansett,Tanker,9196,03/16/17,U 44 (Paul WagenfÃ¼hr),Sunk,SW of Ireland,"50° 12'N, 17° 34'W",New York - London,lubricating oil,46
Nascent,Steamer,4969,08/25/17,UC 49 (Karl Petri),Sunk,Toroedoed 27 miles south of Bishop Rock,"49° 32'N, 6° 25'W",Tegal - Hull,general cargo,6
HMS Nasturtium,Sloop,1250,04/27/16,U 73 (Gustav SieÃ),Sunk,Mined off Malta,,,,8
Natal Transport,Steamer,4107,09/04/15,U 34 (Claus RÃ¼cker),Sunk,40 miles W of Gavdo Island (near Crete),,Bombay - Liverpool,general cargo,0
Natale  B.,Sailing vessel,55,04/28/17,U 63 (Otto Schultze),Sunk,Strait of Messina,,,,
Natale Monaco,Sailing vessel,57,05/25/17,U 65 (Hermann von Fischel),Sunk,Tyrrhenian Sea,,,,
Natuna,Sailing vessel,1121,05/02/17,U 44 (Paul WagenfÃ¼hr),Sunk,Stopped and sunk 70 miles W of the Shetlands,"59° 50'N, 3° 10'W","Savannah, GA - Odense",oilcake,0
Navenby,Trawler,167,03/13/17,UC 44 (Kurt Tebbenjohanns),Sunk,Stopped and scuttled 85 miles E of Rattray Head,,,,0
Navigator,Steamer,3803,03/18/18,UC 75 (Walter Schmitz),Damaged,Torpedoed 10 miles N66Â°W of Portland Bill,,Middlesborough - South Africa,general cargo,0
Neath,Auxiliary motor,5548,03/27/17,U 66 (Thorwald von Bothmer),Sunk,28 miles SxE of Fastnet,,Mauritius - Havre,sugar,0
Nebraskan,Steamer,4409,05/25/15,U 41 (Claus Hansen),Damaged,40 miles WSW of Fastnet,"51° 12'N, 10° 47'W",Liverpool - Delaware breakwater,in ballast,0
Nederland,Steamer,1832,11/20/17,U 53 (Hans Rose),Sunk,Stopped and sunk by gunfire 9 miles NW of the Noord-Hinder LV,,Rotterdam - Leith,general cargo,
Neerlandia Ii,Fishing vessel (sail),100,08/24/18,UB 111 (Egon von Werner),Sunk,Stopped and scuttled E of Smith Knoll,,,,0
Neerlandia Iii,Fishing vessel (sail),117,08/24/18,UB 111 (Egon von Werner),Sunk,Stopped and scuttled E of Smith Knoll,,,,0
Neepawah,Steamer,1799,04/22/17,U 53 (Hans Rose),Sunk,"120 miles W of Bishop Rock. 49.07N, 09.27W per KTB","49° 10'N, 9° 20'W",Huelva - Rouen,pyrites,0
Nefeli,Steamer,3868,11/03/17,UC 38 (Hans Hermann Wendlandt),Sunk,W of Crete,"34° 57'N, 22° 16'E",Karachi - Syracuse,,
Neguri,Steamer,1859,02/15/18,U 152 (Constantin Kolbe),Sunk,,"29° 11'N, 20° 30'W",Charleston - Marseille,,0
Nellie,Trawler,109,04/01/15,U 10 (Fritz Stuhr),Sunk,Stopped and sunk 40 miles NExE of the Tyne,"55° 33'N, 0° 19'W",,,0
Nellie Bruce,Trawler,192,10/30/16,U 24 (Walter Remy),Sunk,"Stopped and sunk by gunnery off Beru Fjord, Iceland",,,,0
Nellie Nutten,Navy Trawler,174,07/11/16,U 24 (Walter Remy),Sunk,Sunk by gunfire off Aberdeen,"57° 06'N, 0° 58'E",,,2
